288 138
3 6
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 3 3 3 3 3 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 3 3 2 2 3 3 3 3 3 2 2 3 2 2 2 2 3 3 3 2 2 3 3 3 3 3 3 3 3 2 2 1 1 3 3 3 3 3 3 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 3 3 3 3 3 3 3 3 2 2 2 3 3 3 3 3 3 3 2 1 
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 
88	122	129	
89	123	130	
90	124	0	
91	125	0	
92	121	126	
93	122	127	
94	123	128	
95	124	129	
96	125	130	
97	136	0	
98	137	0	
99	131	138	
100	132	0	
101	133	0	
102	134	0	
103	135	0	
104	131	136	
105	132	137	
106	133	138	
107	134	0	
108	135	0	
10	121	131	
11	122	132	
12	123	133	
1	124	134	
2	125	135	
3	126	136	
4	127	137	
5	128	138	
6	129	0	
7	130	0	
8	0	0	
9	0	0	
1	22	131	
2	23	132	
3	24	133	
4	13	134	
5	14	135	
6	15	136	
7	16	137	
8	17	138	
9	18	0	
10	19	0	
11	20	0	
12	21	0	
1	13	34	
2	14	35	
3	15	36	
4	16	25	
5	17	26	
6	18	27	
7	19	28	
8	20	29	
9	21	30	
10	22	31	
11	23	32	
12	24	33	
13	25	46	
14	26	47	
15	27	48	
16	28	37	
17	29	38	
18	30	39	
19	31	40	
20	32	41	
21	33	42	
22	34	43	
23	35	44	
24	36	45	
25	37	58	
26	38	59	
27	39	60	
28	40	49	
29	41	50	
30	42	51	
31	43	52	
32	44	53	
33	45	54	
34	46	55	
35	47	56	
36	48	57	
37	49	70	
38	50	71	
39	51	72	
40	52	61	
41	53	62	
42	54	63	
43	55	64	
44	56	65	
45	57	66	
46	58	67	
47	59	68	
48	60	69	
49	61	82	
50	62	83	
51	63	84	
52	64	73	
53	65	74	
54	66	75	
55	67	76	
56	68	77	
57	69	78	
58	70	79	
59	71	80	
60	72	81	
61	73	94	
62	74	95	
63	75	96	
64	76	85	
65	77	86	
66	78	87	
67	79	88	
68	80	89	
69	81	90	
70	82	91	
71	83	92	
72	84	93	
73	85	106	
74	86	107	
75	87	108	
76	88	97	
77	89	98	
78	90	99	
79	91	100	
80	92	101	
81	93	102	
82	94	103	
83	95	104	
84	96	105	
85	97	118	
86	98	119	
87	99	120	
88	100	109	
89	101	110	
90	102	111	
91	103	112	
92	104	113	
93	105	114	
94	106	115	
95	107	116	
96	108	117	
97	109	130	
98	110	0	
99	111	0	
100	112	121	
101	113	122	
102	114	123	
103	115	124	
104	116	125	
105	117	126	
106	118	127	
107	119	128	
108	120	129	
109	121	0	
110	122	0	
111	123	0	
112	124	131	
113	125	132	
114	126	133	
115	127	134	
116	128	135	
117	129	136	
118	130	137	
119	138	0	
120	0	0	
3	8	37	148	157	169	
4	9	38	149	158	170	
5	10	39	150	159	171	
6	11	40	151	160	172	
7	12	41	152	161	173	
1	8	42	153	162	174	
2	9	43	154	163	175	
3	10	44	155	164	176	
4	11	45	156	165	177	
5	12	46	145	166	178	
1	6	47	146	167	179	
2	7	48	147	168	180	
15	20	49	160	169	181	
16	21	50	161	170	182	
17	22	51	162	171	183	
18	23	52	163	172	184	
19	24	53	164	173	185	
13	20	54	165	174	186	
14	21	55	166	175	187	
15	22	56	167	176	188	
16	23	57	168	177	189	
17	24	58	157	178	190	
13	18	59	158	179	191	
14	19	60	159	180	192	
27	32	61	172	181	193	
28	33	62	173	182	194	
29	34	63	174	183	195	
30	35	64	175	184	196	
31	36	65	176	185	197	
25	32	66	177	186	198	
26	33	67	178	187	199	
27	34	68	179	188	200	
28	35	69	180	189	201	
29	36	70	169	190	202	
25	30	71	170	191	203	
26	31	72	171	192	204	
39	44	73	184	193	205	
40	45	74	185	194	206	
41	46	75	186	195	207	
42	47	76	187	196	208	
43	48	77	188	197	209	
37	44	78	189	198	210	
38	45	79	190	199	211	
39	46	80	191	200	212	
40	47	81	192	201	213	
41	48	82	181	202	214	
37	42	83	182	203	215	
38	43	84	183	204	216	
51	56	85	196	205	217	
52	57	86	197	206	218	
53	58	87	198	207	219	
54	59	88	199	208	220	
55	60	89	200	209	221	
49	56	90	201	210	222	
50	57	91	202	211	223	
51	58	92	203	212	224	
52	59	93	204	213	225	
53	60	94	193	214	226	
49	54	95	194	215	227	
50	55	96	195	216	228	
63	68	97	208	217	229	
64	69	98	209	218	230	
65	70	99	210	219	231	
66	71	100	211	220	232	
67	72	101	212	221	233	
61	68	102	213	222	234	
62	69	103	214	223	235	
63	70	104	215	224	236	
64	71	105	216	225	237	
65	72	106	205	226	238	
61	66	107	206	227	239	
62	67	108	207	228	240	
75	80	109	220	229	241	
76	81	110	221	230	242	
77	82	111	222	231	243	
78	83	112	223	232	244	
79	84	113	224	233	245	
73	80	114	225	234	246	
74	81	115	226	235	247	
75	82	116	227	236	248	
76	83	117	228	237	249	
77	84	118	217	238	250	
73	78	119	218	239	251	
74	79	120	219	240	252	
87	92	121	232	241	253	
88	93	122	233	242	254	
89	94	123	234	243	255	
90	95	124	235	244	256	
91	96	125	236	245	257	
85	92	126	237	246	258	
86	93	127	238	247	259	
87	94	128	239	248	260	
88	95	129	240	249	261	
89	96	130	229	250	262	
85	90	131	230	251	263	
86	91	132	231	252	264	
99	104	133	244	253	265	
100	105	134	245	254	266	
101	106	135	246	255	267	
102	107	136	247	256	268	
103	108	137	248	257	269	
97	104	138	249	258	270	
98	105	139	250	259	271	
99	106	140	251	260	272	
100	107	141	252	261	273	
101	108	142	241	262	274	
97	102	143	242	263	275	
98	103	144	243	264	276	
1	111	116	256	265	277	
2	112	117	257	266	278	
3	113	118	258	267	279	
4	114	119	259	268	280	
5	115	120	260	269	281	
6	109	116	261	270	282	
7	110	117	262	271	283	
8	111	118	263	272	284	
9	112	119	264	273	285	
10	113	120	253	274	286	
11	109	114	254	275	287	
12	110	115	255	276	288	
13	123	128	145	268	277	
14	124	129	146	269	278	
